turn_id,pause_index,p_eot
en__000,0,0.2184
en__000,1,0.358
en__000,2,0.4785
en__000,3,0.4219
en__001,0,0.2629
en__001,1,0.4712
en__002,0,0.2197
en__002,1,0.2907
en__002,2,0.3115
en__002,3,0.5244
en__002,4,0.6525
en__002,5,0.7037
en__002,6,0.5077
en__003,0,0.5257
en__004,0,0.5919
en__004,1,0.7094
en__005,0,0.2837
en__005,1,0.4515
en__006,0,0.183
en__006,1,0.5187
en__006,2,0.7413
en__007,0,0.2529
en__007,1,0.303
en__007,2,0.3792
en__007,3,0.4075
en__007,4,0.5874
en__007,5,0.3723
en__007,6,0.4754
en__008,0,0.1359
en__008,1,0.4879
en__008,2,0.377
en__008,3,0.8156
en__009,0,0.4338
en__010,0,0.1942
en__010,1,0.1144
en__011,0,0.4858
en__012,0,0.2421
en__012,1,0.4596
en__012,2,0.5108
en__013,0,0.4211
en__014,0,0.1756
en__014,1,0.6655
en__015,0,0.064
en__015,1,0.4481
en__016,0,0.4457
en__016,1,0.4298
en__016,2,0.6038
en__017,0,0.506
en__017,1,0.7963
en__018,0,0.3103
en__018,1,0.2677
en__018,2,0.4418
en__018,3,0.4592
en__018,4,0.416
en__018,5,0.5587
en__019,0,0.555
en__020,0,0.4943
en__020,1,0.6082
en__020,2,0.7741
en__021,0,0.1875
en__022,0,0.4478
en__022,1,0.6459
en__023,0,0.1112
en__023,1,0.3037
en__023,2,0.6214
en__024,0,0.1767
en__024,1,0.4081
en__024,2,0.7132
en__025,0,0.2958
en__026,0,0.4534
en__027,0,0.7379
en__027,1,0.8212
en__028,0,0.3585
en__028,1,0.6372
en__029,0,0.259
en__029,1,0.5903
en__029,2,0.5826
en__030,0,0.2604
en__030,1,0.5927
en__030,2,0.5108
en__030,3,0.7892
en__030,4,0.8633
en__031,0,0.405
en__032,0,0.1512
en__032,1,0.7165
en__033,0,0.4078
en__034,0,0.5505
en__034,1,0.9126
en__035,0,0.5655
en__035,1,0.5852
en__035,2,0.5859
en__036,0,0.3033
en__036,1,0.2969
en__036,2,0.3697
en__037,0,0.2432
en__037,1,0.3309
en__037,2,0.4398
en__037,3,0.624
en__038,0,0.2839
en__038,1,0.3631
en__038,2,0.5103
en__038,3,0.4798
en__039,0,0.4224
en__039,1,0.4593
en__039,2,0.4263
en__040,0,0.3994
en__041,0,0.4875
en__042,0,0.1691
en__042,1,0.1785
en__042,2,0.4609
en__042,3,0.2024
en__042,4,0.648
en__043,0,0.5614
en__044,0,0.2236
en__044,1,0.3205
en__044,2,0.6697
en__045,0,0.1594
en__045,1,0.3788
en__046,0,0.392
en__046,1,0.4643
en__046,2,0.4574
en__047,0,0.3777
en__048,0,0.4793
en__048,1,0.2999
en__049,0,0.3474
en__049,1,0.4844
en__049,2,0.6518
en__049,3,0.8781
en__049,4,0.6987
en__050,0,0.3195
en__051,0,0.3582
en__051,1,0.4334
en__051,2,0.5028
en__052,0,0.2562
en__052,1,0.5017
en__052,2,0.9453
en__053,0,0.2613
en__053,1,0.6634
en__054,0,0.394
en__054,1,0.6225
en__055,0,0.5792
en__056,0,0.5106
en__057,0,0.5128
en__058,0,0.6827
en__059,0,0.2427
en__059,1,0.1905
en__059,2,0.4905
en__060,0,0.5689
en__060,1,0.4397
en__061,0,0.2968
en__061,1,0.5974
en__061,2,0.7295
en__062,0,0.7308
en__063,0,0.4467
en__063,1,0.6224
en__064,0,0.4625
en__064,1,0.6451
en__065,0,0.4613
en__065,1,0.4953
en__065,2,0.8038
en__066,0,0.5188
en__066,1,0.4111
en__067,0,0.3623
en__067,1,0.3936
en__067,2,0.7477
en__068,0,0.3943
en__068,1,0.4758
en__068,2,0.5673
en__069,0,0.1368
en__069,1,0.744
en__070,0,0.3577
en__070,1,0.3161
en__070,2,0.3845
en__070,3,0.5146
en__070,4,0.4956
en__070,5,0.5159
en__070,6,0.6632
en__071,0,0.4
en__072,0,0.6308
en__073,0,0.458
en__073,1,0.5433
en__074,0,0.7173
en__075,0,0.539
en__076,0,0.8682
en__077,0,0.5281
en__077,1,0.3807
en__077,2,0.4101
en__078,0,0.1776
en__079,0,0.5159
en__079,1,0.6574
en__080,0,0.2514
en__080,1,0.311
en__080,2,0.2711
en__080,3,0.4755
en__080,4,0.5072
en__080,5,0.8211
en__081,0,0.1029
en__081,1,0.1535
en__081,2,0.4393
en__081,3,0.6397
en__081,4,0.8
en__082,0,0.4415
en__082,1,0.6772
en__083,0,0.2605
en__083,1,0.5333
en__083,2,0.732
en__084,0,0.6944
en__085,0,0.3444
en__086,0,0.4725
en__086,1,0.2905
en__086,2,0.5709
en__087,0,0.288
en__088,0,0.2067
en__088,1,0.609
en__089,0,0.2219
en__089,1,0.1614
en__090,0,0.7014
en__090,1,0.4234
en__090,2,0.9008
en__090,3,0.7783
en__091,0,0.5386
en__091,1,0.4672
en__091,2,0.5408
en__091,3,0.6327
en__091,4,0.4674
en__091,5,0.8057
en__091,6,0.8495
en__091,7,0.7032
en__092,0,0.4094
en__092,1,0.5586
en__093,0,0.2164
en__093,1,0.4814
en__093,2,0.4953
en__093,3,0.3348
en__093,4,0.4453
en__094,0,0.5283
en__094,1,0.5739
en__095,0,0.1168
en__095,1,0.2758
en__095,2,0.5239
en__095,3,0.5717
en__095,4,0.46
en__095,5,0.2981
en__096,0,0.568
en__097,0,0.5279
en__097,1,0.5106
en__098,0,0.3929
en__099,0,0.3538
